time,lat,lon,surface_oxy,oxygen_mg_L,year
1878-06-27 19:59:59.998283264,70.933334,35.616665,318.061,10.177953,1878
1878-07-02 04:00:00.000429056,74.13333,31.2,313.70398,10.0385275,1878
1878-07-03 16:00:00.001716736,74.01667,22.45,265.777,8.504865,1878
1878-07-05 07:30:00.000000000,73.78333,14.35,304.99,9.75968,1878
1878-07-06 12:49:59.998855680,72.95,14.533334,322.418,10.317376,1878
1878-07-30 14:19:59.998855680,72.88333,21.85,304.99,9.75968,1878
1878-08-05 09:59:59.999141888,76.26667,14.65,326.775,10.4568,1878
1878-08-06 22:00:00.001716736,76.55,13.3,335.48898,10.735648,1878
1878-08-07 22:00:00.001716736,76.666664,7.7833333,326.775,10.4568,1878
1878-12-23 07:30:00.000000000,74.933334,19.5,365.98798,11.711616,1878
1898-09-03 12:00:00.000000000,62.116665,20.166666,276.2338,8.839482,1898
1898-09-06 08:00:00.000858112,60.233334,19.033333,281.8979,9.020733,1898
1899-05-04 02:00:00.000214528,59.966667,19.8,400.844,12.827008,1899
1899-05-05 11:00:00.000858112,60.133335,19.3,405.20102,12.966434,1899
1899-07-19 16:00:00.001716736,59.733334,24.966667,298.8902,9.5644865,1899
1899-07-25 09:00:00.000000000,59.5,20.433332,290.6119,9.299582,1899
1899-09-07 13:59:59.998283264,62.716667,18.866667,317.6253,10.16401,1899
1899-09-29 00:00:00.000000000,59.866665,24.883333,295.4046,9.452948,1899
1900-05-26 09:00:00.000000000,59.866665,24.883333,417.8363,13.370763,1900
1900-07-20 06:00:00.000000000,60.133335,27.65,300.633,9.620256,1900
1900-07-21 16:59:59.998283264,59.866665,24.883333,298.0188,9.536602,1900
1900-07-25 00:00:00.000000000,62.716667,18.866667,274.9267,8.797655,1900
1900-08-23 06:59:59.999141888,62.716667,18.866667,249.6561,7.9889956,1900
1900-10-02 00:00:00.000000000,59.866665,24.883333,238.3279,7.626493,1900
1901-05-26 12:00:00.000000000,62.716667,18.866667,320.2395,10.247664,1901
1901-07-27 12:00:00.000000000,60.2,19.116667,265.777,8.504865,1901
1901-07-27 18:00:00.000000000,59.766666,19.766666,259.6772,8.30967,1901
1901-09-30 06:59:59.999141888,59.5,20.433332,284.94778,9.11833,1901
