time,lat,lon,surface_sal,year
1770-01-01 00:00:00.000000000,50.033333,-4.366667,35.28,1770
1770-01-01 00:00:00.000000000,58.68833,18.416666,6.87,1770
1873-02-15 00:00:00.000000000,27.4,-16.916666,36.8,1873
1873-02-19 00:00:00.000000000,25.633333,-20.366667,36.65,1873
1873-02-25 00:00:00.000000000,23.2,-32.933334,37.31,1873
1873-02-26 00:00:00.000000000,23.383333,-35.183334,37.36,1873
1873-02-28 00:00:00.000000000,23.166666,-38.7,37.35,1873
1873-03-01 00:00:00.000000000,22.75,-40.616665,37.25,1873
1873-03-03 00:00:00.000000000,21.95,-43.483334,35.45,1873
1873-03-04 00:00:00.000000000,21.633333,-44.65,37.4,1873
1873-03-06 00:00:00.000000000,20.816668,-48.75,37.29,1873
1873-03-11 00:00:00.000000000,19.25,-57.783333,36.75,1873
1873-03-12 00:00:00.000000000,18.933332,-59.583332,36.6,1873
1873-03-13 00:00:00.000000000,18.9,-61.466667,36.5,1873
1873-03-14 00:00:00.000000000,18.666666,-62.933334,36.32,1873
1873-03-27 00:00:00.000000000,21.433332,-65.26667,36.4,1873
1873-03-28 00:00:00.000000000,22.816668,-65.316666,36.5,1873
1873-03-29 00:00:00.000000000,24.65,-65.416664,36.48,1873
1873-04-03 00:00:00.000000000,31.816668,-64.916664,35.14,1873
1873-04-25 00:00:00.000000000,33.05,-66.53333,36.65,1873
1873-04-27 00:00:00.000000000,34.05,-67.53333,36.4,1873
1873-04-30 00:00:00.000000000,35.966667,-70.583336,36.41,1873
1873-05-23 00:00:00.000000000,39.733334,-63.366665,36.47,1873
1873-05-28 00:00:00.000000000,33.333332,-64.61667,36.54,1873
1873-07-03 00:00:00.000000000,38.183334,-27.15,36.34,1873
1873-07-04 05:30:00.000429056,37.866665,-26.433332,35.99,1873
1873-07-15 00:00:00.000000000,33.216667,-18.216667,35.41,1873
1873-07-19 00:00:00.000000000,28.7,-18.1,36.85,1873
1873-07-22 00:00:00.000000000,23.966667,-21.3,37.11,1873
1873-07-24 00:00:00.000000000,20.966667,-22.95,35.85,1873
1873-07-25 00:00:00.000000000,19.666666,-24.1,35.51,1873
1873-07-26 00:00:00.000000000,17.9,-24.683332,36.94,1873
1873-09-04 00:00:00.000000000,-5.016667,-33.833332,35.44,1873
1873-09-08 00:00:00.000000000,-7.65,-34.2,36.95,1873
1873-09-10 00:00:00.000000000,-9.166667,-34.816666,36.9,1873
1873-09-11 00:00:00.000000000,-10.183333,-35.366665,36.03,1873
1873-09-12 00:00:00.000000000,-10.766666,-36.033333,36.77,1873
1873-10-03 00:00:00.000000000,-26.25,-32.933334,35.77,1873
1873-10-06 00:00:00.000000000,-29.583334,-28.15,35.54,1873
1873-10-10 00:00:00.000000000,-35.416668,-23.666666,35.41,1873
1873-10-11 00:00:00.000000000,-35.683334,-20.916666,34.93,1873
1873-10-20 00:00:00.000000000,-36.716667,-7.2166667,35.06,1873
1873-10-23 00:00:00.000000000,-35.983334,1.5666666,35.19,1873
1873-12-24 00:00:00.000000000,-45.95,34.65,34.27,1873
